CANDIDATO;SITUACAO;DESPESAS
George Turner;0;10
Victor Johnson;0;100
Jerry Perry;1;1600
Shirley Cook;1;1500
Carolyn Bailey;1;3300
Susan Sanders;0;200
Anthony Harris;1;1800
Philip Richardson;1;1700
Eugene Phillips;0;300
Mildred Morris;1;1800
Richard Jones;0;100
Joan Hernandez;0;500
Lawrence Mitchell;1;3000
Annie Brooks;0;20
Stephen Simmons;0;200
Samuel Russell;1;700
Jason Brown;1;1600
Bobby Gonzalez;1;1900
Steven Coleman;0;100
Benjamin Ramirez;0;400
 Pamela Bryant;1;2700
Billy Perez;0;200
Julia Watson;0;300
Laura Butler;0;500
 Gary Peterson;1;2500
Carl Lewis;1;1400
Virginia Scott;0;700
Eric Alexander;1;1700
Jane Rodriguez;1;1400
Terry Smith;1;1600
Donald Campbell;0;400
Helen Young;0;200
Dorothy Bennett;1;1600
Stephanie Baker;1;2200
Joseph Gray;1;1900
Beverly King;0;200
Lori Collins;0;1200
Diana Moore;1;1700
Diane Davis;1;1500
Timothy Reed;1;2100
Andrea Washington;0;400
Nicholas Garcia;0;800
Barbara White;0;400
Mark Hall;1;500
Katherine Price;0;1000
Linda Long;0;300
Harry Anderson;1;800
